Ref,Credit_Score,Final_Grade,Term,Net_Advance,APR,Loan_Type,Mosaic,Mosaic_Class,Time_at_Address,Residential_Status,Telephone_Indicator,Number_of_Dependants,Marital_Status,Gender,Time_in_Employment,Employment_Status,Full_Part_Time_Empl_Ind,Perm_Temp_Empl_Ind,Income_Range,Current_Account,ACCESS_Card,VISA_Card,American_Express,Diners_Card,Cheque_Guarantee,Other_Credit_Store_Card,Time_with_Bank,Value_of_Property,Outstanding_Mortgage_Bal,Total_Outstanding_Balances,Bureau Data - Monthly_Other_Co_Repayments,Worst_History_CT,Payment_Method,Age,Total_outstanding_balance__mortg,Total # Public Info. (Court + bankruptcies),Total value Public Info. (Court + bankruptcies),Time since most recent Public Info.  mnths,Total_value__CAIS_8_9s,Worst_status_L6m,Worst_CUrrent_Status,__of_status_3_s_L6m,Searches___Total___L6m,Years_on_ER_for_SP,Bankruptcy_Detected__SP_,Total___outstanding_CCJ_s,Total outstanding balance (excl. mortgages),Total___of_accounts,CIFAS_detected,Time_since_most_recent_outstandi,Insurance_Description,PPI,code,prdt_desc,category,PPI_SINGLE,PPI_JOINT,PPI_LCI
20,968,X,120,18000,8.4,secured  ,24,4,2,H,N,0,D,F,168,G,F,P,3,TRUE,FALSE,TRUE ,FALSE,FALSE,TRUE,TRUE  ,420,"120,000.00",66776,85502,526,0,D,49,68,0,0,99,0,0,0,0,2,1,N,0,188,8,N,99,Life & CI                 ,1,713,LIFE & CRITICAL ILLNESS,LCI,0,0,1
21,904,A,60,10000,8.7,UnSecured,46,8,24,H,Y,0,M,M,8,P,F,P,6,TRUE,FALSE,TRUE ,FALSE,FALSE,TRUE,FALSE ,174,"150,000.00",128584,157718,977,5,D,37,130,0,0,99,0,0,0,0,4,0,N,0,292,8,N,99,LASU                      ,1,750,LASU,Single,1,0,0
23,924,A,44,8000,9.9,UnSecured,47,8,418,T,Y,0,S,M,439,S,F,P,6,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE  ,379,"120,000.00",0,2827,0,0,D,72,0,0,0,99,0,0,0,0,0,0,N,0,29,1,N,99,Life & CI                 ,1,713,LIFE & CRITICAL ILLNESS,LCI,0,0,1
24,896,A,37,5000,9.4,UnSecured,15,3,4,H,Y,0,D,M,240,P,F,P,5,TRUE,FALSE,TRUE ,FALSE,FALSE,TRUE,FALSE ,300,"246,000.00",127983,257560,1526,5,D,48,257,0,0,99,0,0,0,0,3,20,N,0,16,9,N,99,,0,,,,0,0,0
25,804,D,84,5000,17.1,secured  ,44,8,12,H,Y,2,M,M,36,S,F,P,6,TRUE,FALSE,TRUE ,FALSE,FALSE,TRUE,FALSE ,240,"165,000.00",148728,160650,830,5,D,37,150,0,0,99,0,3,3,1,5,1,N,0,120,8,N,99,LASCI                     ,1,751,LASCI,Single,1,0,0
27,840,B,120,21200,11.5,secured  ,44,8,339,H,Y,0,M,M,133,P,F,P,6,TRUE,FALSE,TRUE ,FALSE,FALSE,TRUE,FALSE ,231,"117,000.00",11983,31316,13,0,D,50,0,0,0,99,0,3,1,1,9,28,N,0,314,8,N,99,Joint                     ,1,716,LASU JOINT,Joint,0,1,0
30,862,B,37,2000,31.9,UnSecured,18,3,44,H,Y,0,M,M,63,P,F,P,6,TRUE,FALSE,TRUE ,FALSE,FALSE,TRUE,FALSE ,186,"291,000.00",0,279819,1360,4,D,35,241,1,10,27,226,1,0,0,5,0,N,1,402,6,N,27,Life & CI                 ,1,714,JOINT LIFE & CRITICAL ILLNESS,Single,1,0,0
31,785,E,48,1100,40.9,UnSecured,23,4,94,T,Y,0,S,M,54,P,F,P,2,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE ,150,"120,000.00",0,789,21,4,D,39,0,1,3,47,0,3,0,3,8,3,N,1,8,5,N,47,Single                    ,1,715,LASU,Single,1,0,0
32,847,B,120,20000,9.4,secured  ,16,3,237,H,Y,0,M,M,309,P,F,P,6,TRUE,FALSE,TRUE ,FALSE,FALSE,TRUE,TRUE  ,326,"272,000.00",146413,170348,891,4,D,59,148,0,0,99,0,2,0,0,2,16,N,0,240,9,N,99,Joint                     ,1,716,LASU JOINT,Joint,0,1,0
38,912,A,120,12000,9.4,secured  ,25,4,3,H,Y,0,M,F,240,S,F,P,6,TRUE,FALSE,TRUE ,FALSE,FALSE,TRUE,FALSE ,240,"272,000.00",191930,220021,1910,0,D,55,193,0,0,99,76,3,2,2,4,0,N,0,281,9,N,99,Joint                     ,1,719,LASCI JOINT,Joint,0,1,0
41,910,A,120,17000,12.9,secured  ,22,4,108,H,Y,0,M,M,42,P,F,P,6,TRUE,FALSE,TRUE ,FALSE,FALSE,TRUE,TRUE  ,156,"137,000.00",133389,208441,1356,5,D,35,135,0,0,99,0,0,0,0,5,10,N,0,751,9,N,99,Joint Life & Critica      ,1,749,JOINT LIFE & CRITICAL ILLNESS,Single,1,0,0
43,924,A,120,10000,11.4,secured  ,43,7,120,H,N,2,M,M,62,P,F,P,4,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE ,158,"122,000.00",103015,107059,665,0,D,48,105,0,0,99,27,2,0,0,4,10,N,0,41,3,N,99,Joint                     ,1,716,LASU JOINT,Joint,0,1,0
44,966,X,48,8000,7.9,UnSecured,24,4,156,H,Y,3,D,F,81,P,F,P,3,TRUE,TRUE ,FALSE,FALSE,FALSE,TRUE,FALSE ,168,"85,000.00",38650,39908,282,0,D,34,40,0,0,99,0,0,0,0,0,13,N,0,13,6,N,99,,0,,,,0,0,0
47,875,A,60,6500,16.9,UnSecured,44,8,198,H,Y,1,M,F,48,P,F,P,3,TRUE,FALSE,TRUE ,FALSE,FALSE,TRUE,TRUE  ,306,"75,000.00",0,0,0,5,D,45,0,0,0,99,0,0,0,0,0,0,N,0,0,0,N,99,Single                    ,1,717,1st Cust - LASU / 2nd Cust - LCI,Single,1,0,0
51,1004,X,60,6000,8.9,UnSecured,60,11,169,H,Y,0,M,M,121,P,F,P,4,TRUE,TRUE ,FALSE,FALSE,FALSE,TRUE,FALSE ,254,"130,000.00",0,16305,288,0,D,46,0,0,0,99,0,0,0,0,0,7,N,0,164,2,N,99,Single                    ,1,717,1st Cust - LASU / 2nd Cust - LCI,Single,1,0,0
54,789,D,60,2000,27.9,UnSecured,21,4,15,H,N,1,M,M,15,P,F,P,4,TRUE,TRUE ,TRUE ,FALSE,FALSE,TRUE,TRUE  ,75,"160,000.00",113430,117310,591,0,D,35,115,0,0,99,0,1,1,0,8,0,N,0,39,9,N,99,,0,,,,0,0,0
56,829,C,60,4000,26.9,UnSecured,42,7,96,T,Y,0,S,M,110,D,F,P,1,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE ,86,"120,000.00",0,8473,108,0,D,41,0,0,0,99,0,0,0,0,1,8,N,0,85,8,N,99,,0,,,,0,0,0
57,903,A,120,10200,10.9,secured  ,23,4,96,H,N,0,M,F,36,P,F,P,4,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE  ,216,"118,000.00",83667,89625,799,5,D,48,85,2,146,12,64,0,0,0,4,8,N,2,62,3,N,12,LASU                      ,1,750,LASU,Single,1,0,0
58,865,B,60,5000,15.9,UnSecured,49,9,39,T,Y,2,M,M,3,P,F,P,4,TRUE,TRUE ,FALSE,FALSE,FALSE,TRUE,FALSE ,132,"120,000.00",0,1945,40,5,D,31,0,0,0,99,0,0,0,0,0,3,N,0,20,3,N,99,Life & CI                 ,1,713,LIFE & CRITICAL ILLNESS,LCI,0,0,1
59,774,E,120,15000,10.9,secured  ,42,7,300,H,Y,1,M,M,61,P,F,P,3,TRUE,FALSE,TRUE ,FALSE,FALSE,TRUE,FALSE ,131,"82,000.00",12262,20309,165,0,D,58,0,1,6,72,0,0,0,0,9,24,N,1,204,6,N,72,Joint                     ,1,716,LASU JOINT,Joint,0,1,0
67,804,D,84,7500,18.9,secured  ,44,8,4,H,Y,5,M,M,60,P,F,P,4,TRUE,FALSE,TRUE ,FALSE,FALSE,TRUE,FALSE ,84,"85,000.00",81635,86634,713,5,D,38,83,1,2,25,25,0,0,0,9,0,N,0,50,5,N,99,1st Cust-LASU/ 2nd C      ,1,752,1st Cust - LASU / 2nd Cust - LCI,Single,1,0,0
71,942,A,120,14000,12.4,secured  ,44,8,168,H,Y,0,M,M,38,P,F,P,6,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE  ,240,"68,000.00",58090,67072,874,5,D,42,60,0,0,99,334,0,2,0,2,6,N,0,90,3,N,99,LASU                      ,1,750,LASU,Single,1,0,0
72,870,B,60,8000,15.9,UnSecured,49,9,60,T,Y,1,S,M,60,P,F,P,5,TRUE,FALSE,TRUE ,FALSE,FALSE,TRUE,FALSE ,240,"120,000.00",0,4845,109,0,D,33,0,0,0,99,0,2,0,0,5,0,N,0,49,8,N,99,Life & Critical Illn      ,1,748,LIFE & CRITICAL ILLNESS,LCI,0,0,1
75,1028,X,12,1250,18.9,UnSecured,15,3,232,H,Y,0,M,M,244,S,F,P,6,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE ,252,"250,000.00",180535,199947,1000,0,D,56,182,0,0,99,0,0,0,0,6,0,N,0,195,3,N,99,,0,,,,0,0,0
77,1006,X,120,30000,7.9,secured  ,18,3,125,H,Y,0,M,M,341,P,F,P,6,TRUE,TRUE ,TRUE ,FALSE,FALSE,TRUE,FALSE ,329,"232,000.00",95000,68783,919,0,D,50,0,0,0,99,0,1,0,0,9,10,N,0,688,9,N,99,Single                    ,1,715,LASU,Single,1,0,0
78,885,A,24,1000,30.9,UnSecured,46,8,114,H,Y,1,M,M,83,P,F,P,4,TRUE,FALSE,TRUE ,FALSE,FALSE,TRUE,FALSE ,185,"100,000.00",30712,31273,363,0,D,42,32,0,0,99,0,3,0,1,1,8,N,0,6,6,N,99,Single                    ,1,715,LASU,Single,1,0,0
80,811,D,60,2500,29.9,UnSecured,24,4,18,H,Y,1,S,F,132,P,F,P,5,TRUE,FALSE,TRUE ,FALSE,FALSE,FALS,FALSE ,144,"85,000.00",73537,111958,865,0,D,31,75,0,0,99,0,2,1,0,3,0,N,0,385,9,N,99,LASU                      ,1,750,LASU,Single,1,0,0
84,858,B,120,12000,10.4,secured  ,44,8,178,H,Y,2,S,M,188,P,F,P,5,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE ,270,"76,000.00",42416,15738,0,1,D,44,0,2,12,43,14,0,1,0,2,13,N,1,158,1,N,64,Joint                     ,1,716,LASU JOINT,Joint,0,1,0
86,673,R,60,2000,15.9,UnSecured,19,3,120,H,Y,1,D,F,18,P,F,P,6,TRUE,FALSE,TRUE ,FALSE,FALSE,TRUE,FALSE ,180,"254,000.00",175000,10616,338,5,D,43,0,0,0,99,25,6,6,6,2,10,N,0,107,9,N,99,LASU                      ,1,750,LASU,Single,1,0,0
88,903,A,120,24000,10.9,secured  ,11,2,123,H,Y,1,M,F,172,G,F,P,6,TRUE,FALSE,TRUE ,FALSE,FALSE,TRUE,FALSE ,183,"160,000.00",122254,142641,637,0,D,46,124,0,0,99,113,4,4,2,4,0,N,0,204,5,N,99,,0,,,,0,0,0
91,747,F,120,10000,19.9,secured  ,43,7,1,H,N,3,M,M,168,P,F,P,5,TRUE,TRUE ,TRUE ,FALSE,FALSE,TRUE,TRUE  ,168,"120,000.00",105495,7131,270,5,D,30,0,0,0,99,6,1,0,0,5,0,N,0,72,9,N,99,,0,,,,0,0,0
93,965,X,60,8125,6.9,UnSecured,47,8,18,H,Y,2,S,F,156,G,F,P,5,TRUE,FALSE,TRUE ,FALSE,FALSE,FALS,FALSE ,360,"180,000.00",142000,166328,1245,4,D,50,141,0,0,99,0,0,0,0,2,1,N,0,267,9,N,99,,0,,,,0,0,0
94,885,A,24,1500,22.9,UnSecured,43,7,60,H,Y,1,M,M,42,P,F,P,3,TRUE,FALSE,TRUE ,FALSE,FALSE,FALS,FALSE ,132,"95,000.00",74000,93160,872,4,D,29,81,0,0,99,0,1,1,0,2,4,N,0,142,8,N,99,Life & CI                 ,1,713,LIFE & CRITICAL ILLNESS,LCI,0,0,1
96,997,X,48,15000,6.9,UnSecured,49,9,276,H,Y,1,M,F,132,G,F,P,6,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE  ,72,"140,000.00",0,1035,0,0,D,49,0,0,0,99,0,0,0,0,4,9,N,0,11,9,N,99,,0,,,,0,0,0
97,948,X,60,8125,7.9,UnSecured,7,1,42,H,Y,1,M,F,36,P,F,P,6,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE  ,276,"220,000.00",115000,119792,931,5,D,44,115,0,0,99,0,0,0,0,0,0,N,0,59,4,N,99,,0,,,,0,0,0
100,954,X,60,6000,7.9,UnSecured,10,2,18,H,Y,1,S,F,180,P,F,P,4,TRUE,FALSE,TRUE ,FALSE,FALSE,TRUE,FALSE ,192,"220,000.00",120000,154372,771,0,D,43,149,0,0,99,0,0,0,0,0,1,N,0,70,6,N,99,Single                    ,1,715,LASU,Single,1,0,0
103,1028,X,60,8125,6.9,UnSecured,44,8,108,H,Y,1,M,F,312,G,F,P,5,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE ,324,"150,000.00",25109,112857,1004,0,D,57,97,0,0,99,0,0,0,0,4,6,N,0,169,7,N,99,,0,,,,0,0,0
104,931,A,60,8500,7.6,UnSecured,15,3,165,H,Y,2,M,M,42,P,F,P,5,TRUE,TRUE ,TRUE ,FALSE,FALSE,TRUE,FALSE ,324,"250,000.00",70000,84496,534,4,D,43,73,0,0,99,0,0,1,0,1,13,N,0,131,8,N,99,,0,,,,0,0,0
106,972,X,60,8125,8.4,UnSecured,53,10,360,H,Y,1,M,M,84,S,F,P,4,TRUE,FALSE,TRUE ,FALSE,FALSE,TRUE,FALSE ,120,"400,000.00",9000,5587,3,0,D,61,0,0,0,99,0,0,0,0,0,30,N,0,56,8,N,99,,0,,,,0,0,0
107,1057,X,36,5000,7.9,UnSecured,53,10,390,H,Y,0,M,M,264,S,F,P,5,TRUE,TRUE ,FALSE,FALSE,FALSE,TRUE,FALSE ,227,"260,000.00",41000,59103,420,0,D,65,58,0,0,99,0,1,1,0,0,5,N,0,26,4,N,99,,0,,,,0,0,0
108,953,X,180,52000,7.9,secured  ,45,8,348,H,Y,0,M,M,108,P,F,P,6,TRUE,FALSE,TRUE ,FALSE,FALSE,TRUE,TRUE  ,408,"119,000.00",46145,119270,1009,0,D,53,48,2,11,61,2,1,0,0,2,28,N,2,732,9,N,61,,0,,,,0,0,0
111,902,A,120,22000,10.9,secured  ,24,4,168,H,Y,2,M,M,218,P,F,P,5,TRUE,FALSE,TRUE ,FALSE,FALSE,TRUE,FALSE ,336,"110,000.00",74789,107499,617,1,D,37,76,1,3,14,125,3,1,1,2,14,N,0,328,9,N,99,Joint                     ,1,716,LASU JOINT,Joint,0,1,0
115,991,X,60,10000,7.4,UnSecured,6,1,157,H,Y,0,M,M,274,P,F,P,6,TRUE,TRUE ,TRUE ,FALSE,FALSE,TRUE,FALSE ,178,"400,000.00",296833,372884,3674,0,D,55,298,0,0,99,0,1,0,0,3,0,N,0,761,9,N,99,Single                    ,1,715,LASU,Single,1,0,0
116,868,B,60,8000,16.4,secured  ,42,7,12,H,Y,1,D,M,18,P,F,P,6,TRUE,FALSE,TRUE ,FALSE,FALSE,FALS,FALSE ,240,"80,000.00",75261,103404,782,0,D,51,77,0,0,99,9,0,0,0,4,1,N,0,282,9,N,99,Life & CI                 ,1,714,JOINT LIFE & CRITICAL ILLNESS,Single,1,0,0
119,900,A,60,8000,10.9,UnSecured,37,6,126,H,Y,0,M,F,79,G,F,P,4,TRUE,TRUE ,FALSE,FALSE,FALSE,TRUE,TRUE  ,283,"75,000.00",64000,8447,121,0,D,42,0,0,0,99,5,0,0,0,2,10,N,0,85,9,N,99,Life & CI                 ,1,713,LIFE & CRITICAL ILLNESS,LCI,0,0,1
122,769,E,24,2000,26.9,UnSecured,26,4,264,R,Y,0,S,M,7,P,F,P,3,TRUE,TRUE ,TRUE ,FALSE,FALSE,TRUE,FALSE ,147,"120,000.00",0,2260,0,5,D,23,0,0,0,99,0,0,0,0,3,3,N,0,23,2,N,99,,0,,,,0,0,0
124,1048,X,60,9000,10.9,UnSecured,27,4,60,T,Y,1,M,M,54,G,F,P,4,TRUE,FALSE,TRUE ,FALSE,FALSE,TRUE,FALSE ,240,"120,000.00",0,741,0,5,D,39,0,0,0,99,0,0,0,0,0,0,N,0,8,1,N,99,Joint                     ,1,716,LASU JOINT,Joint,0,1,0
128,885,A,36,2000,20.9,UnSecured,40,6,264,H,Y,1,M,M,90,P,F,P,5,TRUE,FALSE,TRUE ,FALSE,FALSE,TRUE,FALSE ,144,"190,000.00",37000,18178,165,0,D,46,0,0,0,99,0,0,0,0,6,0,N,0,182,4,N,99,Single                    ,1,718,LASCI,Single,1,0,0
130,845,B,120,10000,10.9,secured  ,42,7,120,H,Y,0,S,F,144,P,F,P,3,TRUE,FALSE,TRUE ,FALSE,FALSE,TRUE,FALSE ,144,"160,000.00",104860,100338,530,4,D,35,94,1,56,41,123,2,1,0,6,2,N,1,83,4,N,41,Single                    ,1,715,LASU,Single,1,0,0
132,835,C,24,600,27.9,UnSecured,45,8,132,T,Y,0,S,M,6,P,F,P,5,TRUE,TRUE ,TRUE ,FALSE,FALSE,TRUE,FALSE ,204,"120,000.00",0,34604,530,0,D,36,0,0,0,99,2,0,0,0,5,0,N,0,347,7,N,99,Single                    ,1,715,LASU,Single,1,0,0
133,831,C,72,10000,14.4,secured  ,27,4,96,H,Y,2,M,M,90,S,F,P,6,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE ,72,"237,000.00",157831,164459,590,1,D,36,159,1,1,6,20,0,0,0,1,7,N,0,67,5,N,99,,0,,,,0,0,0
140,1104,B,48,16091.42,12.3,secured  ,0,1,196,L,Y,0,S,F,53,P,F,P,0,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE ,106,"120,000.00",0,7808,0,0,D,30,0,0,0,99,0,0,0,0,0,0,N,0,79,2,N,99,,0,,,,0,0,0
141,789,D,36,1800,25.9,UnSecured,0,1,44,H,Y,1,M,F,79,P,F,P,5,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE ,79,"245,000.00",113000,14251,196,0,D,42,0,1,4,11,0,2,0,0,0,0,N,0,143,9,N,99,,0,,,,0,0,0
143,933,E,48,5808,16.2,secured  ,0,1,12,T,N,0,S,F,36,S,F,P,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALS,FALSE ,120,"120,000.00",0,1863,0,5,D,23,0,0,0,99,0,0,0,0,4,0,N,0,19,8,N,99,Gold                      ,1,707,,Single,1,0,0
146,730,O,84,5000,12.9,secured  ,13,2,36,H,Y,2,M,M,36,G,F,P,4,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE  ,120,"89,000.00",68569,78025,661,5,D,25,70,2,30,4,16,3,4,3,6,2,N,2,95,4,N,4,Joint                     ,1,716,LASU JOINT,Joint,0,1,0
148,777,E,60,2500,31.9,UnSecured,42,7,120,T,Y,0,M,F,62,P,F,P,3,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE ,92,"120,000.00",0,1239,0,0,D,43,0,1,3,55,7,0,0,0,2,11,N,1,13,3,N,55,,0,,,,0,0,0
150,969,X,120,20000,8.9,secured  ,60,11,5,H,Y,0,M,M,60,P,F,P,6,TRUE,FALSE,TRUE ,FALSE,FALSE,TRUE,FALSE ,193,"353,000.00",305000,44882,741,5,D,40,0,0,0,99,0,0,0,0,5,0,N,0,449,9,N,99,,0,,,,0,0,0
152,774,E,120,17200,17.9,secured  ,24,4,12,H,Y,3,S,F,32,P,F,P,6,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE  ,131,"82,500.00",59698,81260,530,0,D,24,61,1,4,51,9,0,0,0,5,1,N,1,216,8,N,51,,0,,,,0,0,0
154,797,D,120,12000,17.9,secured  ,42,7,120,H,Y,4,S,F,81,P,F,P,4,TRUE,FALSE,FALSE,FALSE,FALSE,FALS,FALSE ,125,"109,000.00",85178,91912,564,0,D,32,87,1,3,18,0,0,0,0,5,0,N,1,68,3,N,18,Life & CI                 ,1,713,LIFE & CRITICAL ILLNESS,LCI,0,0,1
155,890,A,120,12000,9.4,secured  ,42,7,33,H,Y,0,M,F,48,G,F,P,4,TRUE,FALSE,TRUE ,FALSE,FALSE,TRUE,FALSE ,24,"119,000.00",91245,111443,1264,5,D,37,93,0,0,99,0,0,0,0,3,0,N,0,202,9,N,99,LASU                      ,1,750,LASU,Single,1,0,0
160,813,C,37,6000,16.9,UnSecured,29,5,3,T,Y,0,S,F,25,P,F,P,5,TRUE,TRUE ,TRUE ,FALSE,FALSE,TRUE,FALSE ,84,"120,000.00",0,5788,366,5,D,33,0,0,0,99,0,0,0,0,2,0,N,0,58,4,N,99,LASU                      ,1,758,LASU,Single,1,0,0
161,665,R,36,3295,38.2,secured  ,7,1,54,T,Y,0,M,F,2,P,F,P,0,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE ,54,"120,000.00",0,4335,0,5,D,29,0,0,0,99,10,1,1,0,4,3,N,0,44,7,N,99,,0,,,,0,0,0
162,611,R,48,5475,33.5,secured  ,46,8,240,L,Y,0,S,M,24,P,F,P,0,TRUE,FALSE,TRUE ,FALSE,FALSE,TRUE,FALSE ,60,"120,000.00",0,975,0,5,D,21,0,0,0,99,16,1,3,2,7,0,N,0,10,4,N,99,Gold                      ,1,701,,Single,1,0,0
163,665,R,36,2821,39.8,secured  ,46,8,1,T,N,0,W,F,7,P,F,P,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALS,FALSE ,1,"120,000.00",0,255,0,5,D,37,0,0,0,99,0,0,0,0,4,0,N,0,3,3,N,99,,0,,,,0,0,0
164,630,R,36,3600,35.5,secured  ,46,8,114,H,Y,0,M,M,24,P,F,P,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALS,FALSE ,1,"120,000.00",0,589,0,5,D,28,0,1,9,59,131,3,3,1,4,8,N,1,6,2,N,59,,0,,,,0,0,0
171,805,D,36,3500,24.9,UnSecured,21,4,60,H,Y,0,D,M,48,S,F,P,4,TRUE,FALSE,TRUE ,FALSE,FALSE,TRUE,FALSE ,24,"102,000.00",67603,68030,471,5,D,49,69,0,0,99,0,2,0,0,4,5,N,0,5,5,N,99,LASCI                     ,1,751,LASCI,Single,1,0,0
173,750,F,60,3000,36.9,UnSecured,4,1,240,L,Y,0,S,M,12,P,F,P,2,TRUE,TRUE ,FALSE,FALSE,FALSE,TRUE,FALSE ,48,"120,000.00",0,1229,0,0,D,21,0,0,0,99,0,0,0,0,1,0,N,0,13,2,N,99,Single                    ,1,715,LASU,Single,1,0,0
